case,problem,cores,candidates,fastest_time,fastest_added,fastest_spill,fastest_hit,fastest_name,min_copy_time,min_copy_added,min_copy_name,min_copy_time_penalty_pct,near2_time,near2_added,near2_saved_bytes,max_hit,max_hit_time,max_hit_added,max_hit_name,max_hit_time_penalty_pct,fastest_eligible,max_hit_eligible,fastest_ddr_proxy,max_hit_ddr_proxy
case_046,2,5,20,77846,2791200,0,,wcc_protected_interleave_v2_w2_base_earliest_start,77846,2791200,wcc_protected_interleave_v2_w2_base_earliest_start,0.0,77846,2791200,0,,,,,,,,,
case_046,3,2,17,105322,930400,0,0.0,wcc_protected_interleave_v2_w4_base_earliest_start,105322,930400,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,105322,930400,0,0.7530304668077024,244994,3176288,wcc_start0_simple_a1_per_core_lpt_mv,132.61426862383928,1926336,4144576,1991872,1116768
case_046,3,3,20,79308,1860800,0,0.6318147704233082,wcc_protected_interleave_v2_w4_base_earliest_start,80335,1791168,cache_r00_t000_colocate_readers,1.2949513289958192,80335,1791168,69632,0.7530304668077024,244994,3176288,wcc_start0_simple_a1_per_core_lpt_mv,208.91461138851062,2856736,4144576,1117344,1116768
case_046,3,4,19,75641,2955040,0,0.1308019320475072,region_r0_1_observed,77846,2791200,wcc_protected_interleave_v2_w2_base_earliest_start,2.9150857339273584,75641,2955040,0,0.7530304668077024,244994,3176288,wcc_start0_simple_a1_per_core_lpt_mv,223.89048267473987,3869056,4144576,3510432,1116768
case_046,3,5,20,77846,2791200,0,0.0,wcc_protected_interleave_v2_w2_base_earliest_start,77846,2791200,wcc_protected_interleave_v2_w2_base_earliest_start,0.0,77846,2791200,0,0.7530304668077024,244994,3176288,wcc_start0_simple_a1_per_core_lpt_mv,214.71623461706443,3787136,4144576,3852672,1116768
case_047,1,5,6,326508,0,0,,wcc_start0_simple_a1_per_core_lpt_mv,326508,0,wcc_start0_simple_a1_per_core_lpt_mv,0.0,326508,0,0,,,,,,,,,
case_047,2,5,20,99901,2698072,0,,lifetime_w8_b0.5,326508,0,wcc_start0_simple_a1_per_core_lpt_mv,226.83156324761512,99901,2698072,0,,,,,,,,,
case_047,3,5,20,115843,2696024,0,0.45547357096557645,cache_reencode_control,326508,0,wcc_start0_simple_a1_per_core_lpt_mv,181.85388845247448,115843,2696024,0,0.45767177157702316,116839,2698072,cache_r00_t000_colocate_readers,0.859784363319327,2076542,2075518,2214156,2212108
case_051,1,2,19,381670,9110978,0,,p1_joint_r0_phase2_eft_merge8,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,59.20245238032855,381670,9110978,0,,,,,,,,,
case_051,1,3,19,312423,9110978,0,,p1_joint_r0_phase2_eft_merge8,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,94.48888206053971,312423,9110978,0,,,,,,,,,
case_051,1,4,19,288232,9111070,0,,observed_duration,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,110.81212356712649,288232,9111070,0,,,,,,,,,
case_051,1,5,19,259576,9111024,0,,p1_joint_r0_tensor_cap0.25_eft_raw,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,134.08481523715596,259576,9111024,0,,,,,,,,,
case_051,2,2,20,319230,394080,0,,trace_r00_00_producer_single,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,90.3417598596623,319230,394080,0,,,,,,,,,
case_051,2,3,19,228533,263200,0,,op_stable_id_w100,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,165.88195140307965,228533,263200,0,,,,,,,,,
case_051,2,4,19,179465,197848,0,,op_stable_id_w100,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,238.5774384977572,179465,197848,0,,,,,,,,,
case_051,2,5,20,179213,230808,0,,lifetime_w8_b0.5,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,239.05352848286677,180878,230804,4,,,,,,,,,
case_051,3,2,20,318398,394080,0,0.4997254925882999,trace_r00_00_producer_single,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,90.83913843679923,321289,394072,8,0.49972803294105683,321289,394072,region_r0_1_observed,0.907983090346054,786864,786860,394082,394074
case_051,3,3,20,227940,263200,0,0.3997481277291245,op_stable_id_w100,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,166.573659735018,227940,263200,0,0.40885526403335626,229612,361504,trace_r00_01_hot_pipe_single_move,0.7335263665877001,655888,721424,394228,459764
case_051,3,4,20,178974,197848,0,0.3331391291976885,op_stable_id_w100,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,239.5062970040341,178974,197848,0,0.4282167219884478,612682,296052,v2_p3_branch_s2_cache_window,242.3301708628069,590444,688698,394366,394358
case_051,3,5,20,179995,230804,0,0.3682204246389414,lifetime_w8_b0.5,607628,0,wcc_start0_simple_a1_per_core_lpt_mv,237.5804883468985,179995,230804,0,0.4282142348940471,612242,296060,v2_p3_branch_s2_cache_window,240.14389288591352,623306,688702,394508,394366
case_057,1,5,19,14028,14400,0,,merge256,20957,288,wcc_start0_simple_a4_per_core_lpt_mv,49.39406900484744,14028,14400,0,,,,,,,,,
case_057,2,5,19,14372,27936,0,,wcc_protected_interleave_v2_w2_base_earliest_start,14372,27936,wcc_protected_interleave_v2_w2_base_earliest_start,0.0,14372,27936,0,,,,,,,,,
case_057,3,5,20,14372,27936,0,0.07663692925568687,wcc_protected_interleave_v2_w2_base_earliest_start,14372,27936,wcc_protected_interleave_v2_w2_base_earliest_start,0.0,14372,27936,0,0.5050050744517214,27829,834172,op_stable_id_w100,93.63345393821318,364524,1008976,342460,667094
case_064,1,5,19,15155,148968,0,,p1_joint_r0_phase2_eft_merge8,19116,0,wcc_start0_simple_a1_per_core_lpt_mv,26.13658858462553,15155,148968,0,,,,,,,,,
case_064,2,5,20,8558,130610,0,,trace_r00_00_producer_single,19116,0,wcc_start0_simple_a1_per_core_lpt_mv,123.36994624912361,8558,130610,0,,,,,,,,,
case_064,3,5,20,8867,130674,0,0.27534222534222536,op_stable_id_w100,19116,0,wcc_start0_simple_a1_per_core_lpt_mv,115.58588023006652,8867,130674,0,0.3250296993511834,13337,125264,op_critical_path_w100,50.41163866020075,113960,109430,136710,127110
case_065,1,5,19,10443,55440,0,,merge256,13259,41616,wcc_start0_affinity_a4_per_core_w75,26.96543138944747,10443,55440,0,,,,,,,,,
case_065,2,5,20,8714,55584,0,,wcc_unrestricted_interleave_w4_complement_earliest_start,53068,0,whole_graph_single_active,508.9970162956162,8714,55584,0,,,,,,,,,
case_065,3,5,20,8334,55584,0,0.10456397901515323,region_observed_order_control,53068,0,whole_graph_single_active,536.7650587952963,8334,55584,0,0.156440681782361,10768,55584,wcc_protected_interleave_v2_w2_base_earliest_start,29.20566354691625,355304,355304,334634,316202
case_069,1,5,19,15434,554768,0,,local_duration,25144,0,wcc_start0_simple_a1_per_core_lpt_mv,62.91304911234936,15434,554768,0,,,,,,,,,
case_069,2,5,20,11487,494258,0,,lifetime_w8_b0.5,25144,0,wcc_start0_simple_a1_per_core_lpt_mv,118.89092017062768,11487,494258,0,,,,,,,,,
case_069,3,5,20,10668,496562,0,0.4801978353607422,region_observed_order_control,25144,0,wcc_start0_simple_a1_per_core_lpt_mv,135.6955380577428,10796,494258,2304,0.4801978353607422,10668,496562,region_observed_order_control,0.0,429448,429448,416396,416396
case_075,1,5,16,616955,11314228,0,,local_duration,1441809,0,wcc_start0_simple_a1_per_core_lpt_mv,133.69759544861455,616955,11314228,0,,,,,,,,,
case_075,2,5,20,396228,13526680,0,,trace_r00_00_producer_single,1441809,0,wcc_start0_simple_a1_per_core_lpt_mv,263.8836730367364,396278,13510296,16384,,,,,,,,,
case_075,3,5,20,409283,13510296,0,0.28965825070197526,cache_reencode_control,1441809,0,wcc_start0_simple_a1_per_core_lpt_mv,252.27678647781607,409283,13510296,0,0.4071679951665946,526025,9085076,op_stable_id_w100,28.523539946687258,9476830,7282650,12602444,7957004
case_077,1,5,19,116241,286720,0,,merge256,121081,172032,wcc_start0_simple_a5_per_core_lpt_mv,4.163763216076943,116241,286720,0,,,,,,,,,
case_077,2,5,20,108214,172032,0,,lifetime_w8_b0.5,495320,0,whole_graph_single_active,357.72266065388953,108214,172032,0,,,,,,,,,
case_077,3,5,20,108214,172032,0,0.003541273648117056,lifetime_w8_b0.5,495320,0,whole_graph_single_active,357.72266065388953,108214,172032,0,0.06728419931422405,124041,172032,wcc_start0_affinity_a5_per_component_w15,14.625649176631494,2313292,2313292,2305200,2157744
case_085,1,5,3,2760933,4246258,347136,,selective_phase_band_critical_path_x2_a5_eft,3173503,790328,selective_local_quantile_stable_id_x1_a5_eft,14.943136975797678,2761518,4241246,5012,,,,,,,,,
