case,problem,cores,makespan,speedup,original_bytes,added_bytes,scheduled_bytes,modeled_pre_spill_bytes,inferred_spill_bytes,spill_model_checked_against_record,root_read_bytes,root_replication_bytes,root_replication_fraction,active_cores,subgraphs,fixed_core_compute_fraction,global_compute_floor_fraction,heaviest_subgraph_compute_fraction,original_compute_path_fraction,logical_ddr_volume_over_time,hit_rate_if_available,cache_record_available,plan_sha256
case_014,1,5,3641147,4.860728226572561,9932740,133995816,143928556,142349092,1579464,False,142327992,132416352,0.9302226669629898,5,150,0.9487263216783063,0.9461715223252454,0.0386812177591292,0.008779651027547089,0.6588059385316404,,False,45d0626959b5926f9b35ceebcdf69e696f13eb698b5063480ba1765ed904d4fe
case_014,2,5,3674889,4.816098118881958,9932740,91061544,100994284,48948004,52046280,True,48926904,39015264,0.7970756887247129,5,1340,0.9384022211283116,0.9374839893123302,0.00950232782541187,0.008699038256665712,0.45803779832987246,,False,12b57187a24fa2cfa35be1ced605146871675fd50639ff743c74d659c11a01a6
case_014,3,5,3646327,4.8538230389101145,9932740,57797928,67730668,47806756,19923912,True,47761080,37849440,0.7917173882285592,5,1344,0.944956390362137,0.9448273838303586,0.009576760394775344,0.008767178588206708,0.3095839914156538,0.31438923395445134,True,84f0d90940f9b13a0f9f9aeea21292f07a7ba73fb8a8cffe87798eb1af4f8416
case_015,1,5,43411,4.085646495127963,884614,321536,1206150,1197958,8192,False,1197826,313344,0.261565096606058,5,5,0.671949505885605,0.4676095920388842,0.671949505885605,0.18228098868950265,0.463073875285066,,False,c4811b6e6fb5392093e26cc917d81415d4cf8353d5d9a5816508b46eef3479bb
case_015,2,5,33997,5.216989734388329,884614,313344,1197958,1197958,0,False,1197826,313344,0.261565096606058,5,1013,0.858016883842692,0.5970938612230491,0.09071388651939877,0.23275583139688796,0.5872861330901746,,False,f618f38fd78956b682f0192b756de375a8c0850368dd9af55788b1804a13b913
case_015,3,5,33340,5.319796040791841,884614,313344,1197958,1197958,0,False,1197826,313344,0.261565096606058,5,1013,0.8749250149970006,0.6088602279544092,0.09250149970005998,0.23734253149370127,0.5988592281543691,,False,f618f38fd78956b682f0192b756de375a8c0850368dd9af55788b1804a13b913
case_016,1,5,3223183,2.3937589023024755,393218,119555952,119949170,119949170,0,True,119930880,119537664,0.9965693301587664,5,1830,0.6017579516893704,0.4787177768063433,0.001950866581264545,0.2032587042063699,0.6202418023839581,,False,448d0a2a47b89ff7680d613924745742432564bcdbc960df283f37286882482c
case_016,2,5,1971422,3.913684132570297,393218,40388464,40781682,40781682,0,False,720896,327680,0.008034980018725074,5,17995,0.81670438901463,0.7826812321258462,0.00026579798744256686,0.33231849903267796,0.34477382315912064,,False,a3e9becc7eedda6cd8e170f3109414c0c3182f03c6a433e025829be90d4dd0ff
case_016,3,5,1969193,3.9181141716429013,393218,40388464,40781682,40781682,0,False,720896,327680,0.008034980018725074,5,17995,0.8176288459282559,0.7835671770110904,0.0002660988536928579,0.3326946622296545,0.3451640849830362,,False,a3e9becc7eedda6cd8e170f3109414c0c3182f03c6a433e025829be90d4dd0ff
case_017,1,5,35340,4.606960950764007,643862,329472,973334,973334,0,False,864590,329472,0.3384983982887683,5,5,0.6277306168647425,0.6259196378041879,0.6277306168647425,0.16921335597057158,0.45903320128277686,,False,1ec05199e1da8f1d4a59bc690f5735847517c782461fc4a9ed0160d5ce32099e
