case,problem,cores,makespan,added_copy,original_singlecore,speedup,source,source_commit,source_plan,plan,plan_sha256,verification
case_005,1,4,70732,1362706,95618,1.3518350958547758,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_005_multicore_res.json,方案/p1/n4/case_005_multicore_res.json,13e19b1793a1ea9e00617433385cc25cb761a8e1fe79555248cce05c0f91f31d,inherited_team13_success
case_005,1,5,51854,2089762,95618,1.8439850349056968,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n5/case_005_multicore_res.json,方案/p1/n5/case_005_multicore_res.json,e7b9027b64a7e14aff549ccd8b05407b2fdb4ce93accf436803f1e4a0d765ec5,inherited_team13_success
case_005,2,1,95618,0,95618,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n1/case_005_multicore_res.json,方案/p2/n1/case_005_multicore_res.json,c58e9f4af982f7364555d44fd5b8647da1839b2854e860deec72940f275b9b16,inherited_team13_success
case_005,2,2,51025,690726,95618,1.8739441450269476,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_005_multicore_res.json,方案/p2/n2/case_005_multicore_res.json,02999ca4948be78dae5f16643d4c3e954616173274535065646f39e8af8fd6ab,inherited_team13_success
case_005,2,3,39002,1152972,95618,2.451617865750474,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n3/case_005_multicore_res.json,方案/p2/n3/case_005_multicore_res.json,955c1acc508405c9a8e38d28a2119a591c2c18f9bff446d56eb760f7942e4695,inherited_team13_success
case_005,2,4,37038,1555314,95618,2.5816188779091744,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n4/case_005_multicore_res.json,方案/p2/n4/case_005_multicore_res.json,78326be442c96c9e46b2954930c8a701601270825eac52d6b94b18bc8af54aad,inherited_team13_success
case_005,2,5,36856,1546098,95618,2.5943672672020837,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_005_multicore_res.json,方案/p2/n5/case_005_multicore_res.json,1579c22a6411b45191ca743b78cbdb798070b6b6f57029e3825e9d99f2157cdf,inherited_team13_success
case_005,3,1,95618,0,95618,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n1/case_005_multicore_res.json,方案/p3/n1/case_005_multicore_res.json,c58e9f4af982f7364555d44fd5b8647da1839b2854e860deec72940f275b9b16,inherited_team13_success
case_005,3,2,50990,690726,95618,1.875230437340655,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n2/case_005_multicore_res.json,方案/p3/n2/case_005_multicore_res.json,02999ca4948be78dae5f16643d4c3e954616173274535065646f39e8af8fd6ab,inherited_team13_success
case_005,3,3,37103,1152972,95618,2.5770961916826134,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n3/case_005_multicore_res.json,方案/p3/n3/case_005_multicore_res.json,955c1acc508405c9a8e38d28a2119a591c2c18f9bff446d56eb760f7942e4695,inherited_team13_success
case_005,3,4,34188,1555314,95618,2.796829296829297,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n4/case_005_multicore_res.json,方案/p3/n4/case_005_multicore_res.json,78326be442c96c9e46b2954930c8a701601270825eac52d6b94b18bc8af54aad,inherited_team13_success
case_005,3,5,33821,1546098,95618,2.8271783802962656,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n5/case_005_multicore_res.json,方案/p3/n5/case_005_multicore_res.json,1579c22a6411b45191ca743b78cbdb798070b6b6f57029e3825e9d99f2157cdf,inherited_team13_success
case_006,1,1,82837,16400,82837,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n1/case_006_multicore_res.json,方案/p1/n1/case_006_multicore_res.json,9e8e15e2b8688a4befddeab7d7569fc13bc9213b272d7c6f5d44228111809b03,inherited_team13_success
case_006,1,2,45580,91264,82837,1.8173979815708645,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_006_multicore_res.json,方案/p1/n2/case_006_multicore_res.json,45f08dfd76b1e726ebdb9c7338df5d73c0dfed542737e1d4948665a127c5605a,inherited_team13_success
case_006,1,3,31151,13824,82837,2.6592083721228854,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_006_multicore_res.json,方案/p1/n3/case_006_multicore_res.json,971f7018f278637f80151bfe87cb156916104889556acf7b549bed818b5d3e1b,inherited_team13_success
case_006,1,4,31151,13824,82837,2.6592083721228854,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_006_multicore_res.json,方案/p1/n4/case_006_multicore_res.json,19beb12c6e9f88a06bed5f45b348ead6c0ef6bbda8cb745b659c6221f8794c64,inherited_team13_success
case_006,1,5,25366,491636,82837,3.265670582669715,joint_panel_strong,2362dd73dd4be460e35ce9302e0521f0934e5de6,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_006/p1_n5/strong/summary.json,方案/p1/n5/case_006_multicore_res.json,36683a945f1fa9dec188fb4bef160d40bd5cdc6479aff2cee59102d216008870,fresh_panel_winner_replay
case_006,2,1,82837,16400,82837,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n1/case_006_multicore_res.json,方案/p2/n1/case_006_multicore_res.json,93cdd42fd35cbbbd8f44b3a52bd70f65e4b0a6ebf8220cafdbfbaf3f1a9b39c3,inherited_team13_success
case_006,2,2,39362,3456,82837,2.1044916416848736,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_006_multicore_res.json,方案/p2/n2/case_006_multicore_res.json,eaf094102397b6ba32e11937e4e7b18310efb368af83592ddfc0510e167a4571,inherited_team13_success
