case,problem,time,ops,copy,spill,root_replication,root_replication_ratio,memory_pressure,speedup,active
case_053,1,470274,11670,18295266,0,3840214,0.20990205881674528,0.4145965576171875,3.1315488417390713,5
case_053,2,418489,11670,8513356,2413812,3104256,0.36463364153924727,0.99609375,3.5190554590443237,5
case_053,3,380122,11670,24706680,0,5679576,0.22988017815424816,0.751251220703125,3.8742456369270917,5
case_054,1,447227,15751,4292396,0,262418,0.061135552264982074,0.5576324462890625,1.8224548160106613,5
case_054,2,217984,15751,8110404,0,696088,0.08582655068724074,0.3638916015625,3.739040480035232,5
case_054,3,212882,15751,8110404,0,696088,0.08582655068724074,0.3638916015625,3.8286515534427523,5
case_055,1,26781,1236,824466,0,198656,0.24095111259894283,0.50006103515625,4.437287629289422,5
case_055,2,20296,1236,824466,0,198656,0.24095111259894283,0.7501983642578125,5.855094599921166,5
case_055,3,20015,1236,824466,0,198656,0.24095111259894283,0.80078125,5.937297027229578,5
case_056,1,138785,7678,4683566,0,78486,0.016757743992504855,0.46881103515625,1.9979464639550384,5
case_056,2,92521,7678,2956124,0,250012,0.08457426007839997,0.244171142578125,2.9969952767479815,5
case_056,3,91897,7678,2956124,0,250012,0.08457426007839997,0.244171142578125,3.0173455063821453,5
case_057,1,14268,865,412732,0,28224,0.06838335772365603,0.531341552734375,4.186010653209981,5
case_057,2,14371,865,370396,0,27936,0.07542198079892871,0.642578125,4.156008628487927,5
case_057,3,14371,865,370396,0,27936,0.07542198079892871,0.642578125,4.156008628487927,5
case_058,1,943984,16575,44339200,10854400,17436672,0.393256351039261,1.0,4.8091037559958645,5
case_058,2,911208,16575,44056576,18952192,17436672,0.3957791000371885,1.0,4.982086417151737,5
case_058,3,898391,16575,43966464,18862080,17436672,0.3965902738960313,1.0,5.053163934189011,5
case_059,1,150782,2752,5668864,0,4325376,0.7630057803468208,0.9921875,5.501140719714555,5
case_059,2,150736,2752,3100672,0,1757184,0.5667107001321003,0.640625,5.502819498991615,5
case_059,3,150736,2752,3100672,0,1757184,0.5667107001321003,0.640625,5.502819498991615,5
case_060,1,183430,5281,5727422,187392,3441024,0.6007980553903659,1.0,4.845385160551709,5
case_060,2,164455,5281,5743806,203776,3441024,0.5990843005491481,1.0,5.404451065641057,5
case_060,3,160258,5281,5743806,203776,3441024,0.5990843005491481,1.0,5.54598834379563,5
case_061,1,22283,1115,627900,0,83712,0.13332059245102723,0.1954345703125,3.46412063007674,5
case_061,2,21715,1115,640188,0,91904,0.14355782988747057,0.1954345703125,3.554731752244992,5
case_061,3,21715,1115,640188,0,91904,0.14355782988747057,0.1954345703125,3.554731752244992,5
case_062,1,942950,19636,36636672,0,8520192,0.23255911453966124,0.140625,3.0275295614825812,5
case_062,2,690843,19636,23136768,1327104,0,0.0,0.99609375,4.132355687182182,5
case_062,3,690843,19636,23136768,1327104,0,0.0,0.99609375,4.132355687182182,5
case_063,1,286820,7360,13833216,0,1764864,0.12758161225849435,0.1171875,3.731946865630012,5
case_063,2,206194,7360,8185344,165888,0,0.0,0.9990234375,5.191213129383009,5
case_063,3,206181,7360,8185344,165888,0,0.0,0.9990234375,5.191540442620804,5
case_064,1,15177,906,245108,0,20852,0.0850727026453645,0.0498046875,1.2595374579956513,5
case_064,2,8539,906,164888,0,26002,0.157694920188249,0.021759033203125,2.2386696334465395,5
case_064,3,8510,906,164888,0,26002,0.157694920188249,0.021759033203125,2.246298472385429,5
case_065,1,11994,704,426938,0,55440,0.12985492038656668,0.187530517578125,4.424545606136402,5
case_065,2,8714,704,371786,0,55584,0.14950536061067388,0.2500762939453125,6.0899701629561624,5
case_065,3,8335,704,371786,0,55584,0.14950536061067388,0.2500762939453125,6.366886622675465,5
case_066,1,199028,5962,3324998,0,583084,0.17536371450448993,0.369384765625,1.8041180135458328,5
case_066,2,114172,5962,4374882,0,951824,0.2175656394846764,0.2978515625,3.144991766807974,5
case_066,3,106776,5962,4374882,0,951824,0.2175656394846764,0.2978515625,3.3628343447965836,5
case_067,1,15233731,8804,266674048,227131520,14886400,0.05582245483445018,0.978515625,4.190361113767862,5
case_067,2,12055757,8804,84649856,854016,14886400,0.1758585389678631,0.994140625,5.294966877650238,5
case_067,3,11993835,8804,84649856,854016,14886400,0.1758585389678631,0.994140625,5.322303833594509,5
case_068,1,143172,5351,6465600,0,1748520,0.27043429844097994,0.75,2.529090883692342,5
case_068,2,134477,5351,6960074,0,1830948,0.2630644444297575,0.85552978515625,2.6926165812741214,5
case_068,3,123937,5351,6960074,0,1830948,0.2630644444297575,0.85552978515625,2.9216053317411266,5
case_069,1,15487,1032,680822,0,75474,0.11085716971543223,0.2230224609375,1.623555239878608,5
case_069,2,10453,1032,559798,0,141616,0.2529769666915566,0.1507720947265625,2.4054338467425618,4
case_069,3,9107,1032,552886,0,139312,0.2519723776691759,0.1507720947265625,2.760953112990008,4
case_070,1,26669,1191,882812,0,462848,0.5242882969420443,0.19873046875,4.3983651430499835,5
case_070,2,22710,1191,882812,0,462848,0.5242882969420443,0.562530517578125,5.165125495376486,5
case_070,3,21056,1191,882812,0,462848,0.5242882969420443,0.562530517578125,5.570858662613982,5
case_071,1,11491,741,351792,0,77000,0.21887933779051258,0.406494140625,1.6464189365590463,5
case_071,2,8107,741,425620,0,102542,0.24092382876744514,0.102935791015625,2.333662267176514,5
case_071,3,7485,741,465944,0,107058,0.22976580876671876,0.094146728515625,2.5275885103540414,5
case_072,1,4714200,29666,165770992,1653192,28450816,0.17162722896657334,1.0,5.069328412031734,5
case_072,2,4806756,29666,141933568,102379568,28450816,0.20045163664172805,1.0,4.971716475727081,5
case_072,3,4795217,29666,141933568,102379568,28450816,0.20045163664172805,1.0,4.983680196328967,5
case_073,1,3517515,4836,143813888,124886400,14886400,0.10351156071936529,0.998291015625,2.8661216796516857,5
case_073,2,1792821,4836,26846592,0,14886400,0.5544986864626988,0.92333984375,5.623331052012443,5
case_073,3,1751868,4836,26846592,0,14886400,0.5544986864626988,0.92333984375,5.7547863195172235,5
case_074,1,330675,3609,11919576,180224,6373376,0.5346982140975485,1.0,5.087288122779164,5
case_074,2,331744,3609,9396440,1695744,3923968,0.4176015597396461,1.0,5.070895027491077,5
case_074,3,326680,3609,11411672,516096,7118848,0.6238216450665599,1.0,5.149501040773846,5
case_075,1,478842,7410,14372708,0,1914390,0.1331961937861675,0.15625,3.0110328667911337,5
case_075,2,392249,7410,14601374,0,1827352,0.12514931813951208,0.192901611328125,3.6757493326942834,5
case_075,3,379091,7410,14601374,0,1827352,0.12514931813951208,0.192901611328125,3.8033321814551124,5
case_076,1,1229020,32528,42453586,593920,14230528,0.33520202510101266,1.0,5.0325568339001805,5
case_076,2,1231756,32528,40230482,19661824,16297984,0.40511530535478046,1.0,5.021378422349881,5
