case,problem,cores,makespan,added_copy,original_singlecore,source,plan,speedup
case_002,1,3,124560,565248,261945,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_002_multicore_res.json,2.102962427745665
case_002,1,4,88895,1594368,261945,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_002_multicore_res.json,2.9466786658417234
case_002,1,5,64296,2165760,261945,my_runs/iterative_holdout_b8_v1/case_002/n5/iterative/summary.json,A题研究/直接迭代/闭环验证_20260925/精选方案/case_002_p1_n5.json,4.074048152295632
case_002,2,1,261945,0,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_002_multicore_res.json,1.0
case_002,2,2,125561,3975168,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_002_multicore_res.json,2.086197147203351
case_002,2,3,82013,632832,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_002_multicore_res.json,3.1939448623998636
case_002,2,4,63304,595968,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_002_multicore_res.json,4.137890180715279
case_002,2,5,51207,642048,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_002_multicore_res.json,5.115413908254731
case_002,3,1,261945,0,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_002_multicore_res.json,1.0
case_002,3,2,125561,3975168,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_002_multicore_res.json,2.086197147203351
case_002,3,3,82013,632832,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_002_multicore_res.json,3.1939448623998636
case_002,3,4,63304,595968,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_002_multicore_res.json,4.137890180715279
case_002,3,5,51207,642048,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_002_multicore_res.json,5.115413908254731
case_003,1,1,592320,1314672,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_003_multicore_res.json,1.0167004321988113
case_003,1,2,538381,98304,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_003_multicore_res.json,1.1185610190552786
case_003,1,3,538381,98304,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_003_multicore_res.json,1.1185610190552786
case_003,1,4,538381,98304,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_003_multicore_res.json,1.1185610190552786
case_003,1,5,409613,3818476,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_003_multicore_res.json,1.4701974790839158
case_003,2,1,602212,0,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_003_multicore_res.json,1.0
case_003,2,2,321883,6032838,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_003_multicore_res.json,1.8709034027892122
case_003,2,3,201189,3430748,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_003_multicore_res.json,2.993265039341117
case_003,2,4,173817,4750638,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_003_multicore_res.json,3.4646323432115387
case_003,2,5,157029,5783280,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_003_multicore_res.json,3.8350368403288564
case_003,3,1,602212,0,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_003_multicore_res.json,1.0
case_003,3,2,321549,6032838,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_003_multicore_res.json,1.8728467511949967
case_003,3,3,200944,3430748,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_003_multicore_res.json,2.9969145632614063
case_003,3,4,168221,4750638,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_003_multicore_res.json,3.5798859833195618
case_003,3,5,145137,5783280,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_003_multicore_res.json,4.149265866043807
case_004,1,1,392357,0,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_004_multicore_res.json,1.0
case_004,1,2,199074,110592,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_004_multicore_res.json,1.9709103147573264
case_004,1,3,134043,221184,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_004_multicore_res.json,2.927098020784375
case_004,1,4,104188,331776,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_004_multicore_res.json,3.765855952700887
case_004,1,5,88341,442368,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_004_multicore_res.json,4.441391879195391
case_004,2,1,392357,0,392357,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_004_multicore_res.json,1.0
case_004,2,2,197916,125952,392357,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_004_multicore_res.json,1.9824420461205765
case_004,2,3,130725,1474560,392357,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_004_multicore_res.json,3.001392235609103
case_004,2,4,100636,1474560,392357,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_004_multicore_res.json,3.8987737986406454
case_004,2,5,81107,2863104,392357,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_004_multicore_res.json,4.837523271727471
case_004,3,1,392357,0,392357,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_004_multicore_res.json,1.0
case_004,3,2,197916,125952,392357,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_004_multicore_res.json,1.9824420461205765
case_004,3,3,130725,1474560,392357,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_004_multicore_res.json,3.001392235609103
case_004,3,4,100126,1474560,392357,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_004_multicore_res.json,3.9186325230209937
case_004,3,5,81107,2863104,392357,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_004_multicore_res.json,4.837523271727471
case_005,1,1,95537,319314,95618,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_005_multicore_res.json,1.0008478390571192
case_005,1,2,95439,99558,95618,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_005_multicore_res.json,1.0018755435409004
case_005,1,3,95439,99558,95618,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_005_multicore_res.json,1.0018755435409004
case_005,1,4,70732,1362706,95618,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_005_multicore_res.json,1.3518350958547758
case_005,1,5,70732,1362706,95618,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_005_multicore_res.json,1.3518350958547758
case_005,2,1,95618,0,95618,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_005_multicore_res.json,1.0
