size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
1024,1048576,serial,16,20,402.02000737190247,475.712,True
1024,1048576,parallel,16,21,355.76000809669495,441.862,True
1024,1048576,matrix_only,16,21,326.13998651504517,401.002,True
1024,1048576,vector_only,16,21,180.31999468803406,253.361,True
1024,1048576,serial,16,21,399.98000860214233,474.802,True
1024,1048576,matrix_only,16,22,325.65999031066895,403.752,True
1024,1048576,vector_only,16,22,175.60000717639923,261.171,True
1024,1048576,serial,16,22,400.4000127315521,471.603,True
1024,1048576,parallel,16,22,353.81999611854553,423.992,True
1024,1048576,serial,16,23,412.2200012207031,497.452,True
1024,1048576,matrix_only,16,23,349.68000650405884,421.872,True
1024,1048576,parallel,16,23,289.64000940322876,460.072,True
1024,1048576,vector_only,16,23,167.28000342845917,262.641,True
1024,1048576,matrix_only,16,24,322.97998666763306,395.952,True
1024,1048576,vector_only,16,24,179.639995098114,257.771,True
1024,1048576,serial,16,24,399.14000034332275,475.052,True
1024,1048576,parallel,16,24,357.340008020401,447.832,True
1024,1048576,vector_only,16,25,182.64000117778778,268.132,True
1024,1048576,matrix_only,16,25,325.1799941062927,401.322,True
1024,1048576,serial,16,25,414.71999883651733,491.023,True
1024,1048576,parallel,16,25,389.4200026988983,481.712,True
1024,1048576,parallel,16,26,353.8399934768677,456.292,True
1024,1048576,vector_only,16,26,183.89999866485596,271.431,True
1024,1048576,matrix_only,16,26,323.22001457214355,394.501,True
1024,1048576,serial,16,26,401.1400043964386,470.962,True
1024,1048576,parallel,16,27,373.42000007629395,465.062,True
1024,1048576,serial,16,27,400.8199870586395,480.292,True
1024,1048576,vector_only,16,27,179.31999266147614,254.321,True
1024,1048576,matrix_only,16,27,323.81999492645264,398.692,True
1024,1048576,parallel,16,28,354.40000891685486,447.102,True
1024,1048576,serial,16,28,400.6200134754181,482.132,True
1024,1048576,matrix_only,16,28,324.0799903869629,399.791,True
1024,1048576,vector_only,16,28,178.25999855995178,249.381,True
1024,1048576,vector_only,16,29,182.53999948501587,256.502,True
1024,1048576,serial,16,29,398.99998903274536,472.562,True
1024,1048576,parallel,16,29,354.6000123023987,455.362,True
1024,1048576,matrix_only,16,29,321.5999901294708,397.392,True
1024,16777216,vector_only,16,0,772.059977054596,870.924,True
1024,16777216,parallel,16,0,946.3599920272827,1077.295,True
1024,16777216,matrix_only,16,0,309.83999371528625,410.262,True
1024,16777216,serial,16,0,969.6599841117859,1073.965,True
1024,16777216,matrix_only,16,1,330.159991979599,429.322,True
1024,16777216,vector_only,16,1,751.9400119781494,850.254,True
1024,16777216,serial,16,1,990.1599884033203,1076.565,True
1024,16777216,parallel,16,1,957.5600028038025,1080.465,True
1024,16777216,vector_only,16,2,799.8200058937073,909.324,True
1024,16777216,parallel,16,2,953.8000226020813,1072.654,True
1024,16777216,matrix_only,16,2,312.9200041294098,431.732,True
1024,16777216,serial,16,2,971.4800119400024,1081.625,True
1024,16777216,matrix_only,16,3,319.11998987197876,428.502,True
1024,16777216,serial,16,3,974.1399884223938,1074.145,True
1024,16777216,vector_only,16,3,758.2600116729736,855.834,True
1024,16777216,parallel,16,3,973.1600284576416,1065.995,True
1024,16777216,serial,16,4,984.7599864006042,1092.395,True
1024,16777216,vector_only,16,4,800.9200096130371,908.734,True
1024,16777216,parallel,16,4,964.5199775695801,1070.865,True
1024,16777216,matrix_only,16,4,331.0199975967407,447.682,True
1024,16777216,serial,16,5,974.8200178146362,1076.405,True
1024,16777216,parallel,16,5,968.2199954986572,1079.675,True
1024,16777216,vector_only,16,5,785.860002040863,891.874,True
1024,16777216,matrix_only,16,5,320.8400011062622,420.352,True
1024,16777216,matrix_only,16,6,302.39999294281006,399.552,True
1024,16777216,serial,16,6,989.4400238990784,1068.895,True
1024,16777216,vector_only,16,6,732.9199910163879,854.404,True
1024,16777216,parallel,16,6,954.200029373169,1063.474,True
1024,16777216,parallel,16,7,962.8599882125854,1077.525,True
1024,16777216,serial,16,7,974.4200110435486,1084.245,True
1024,16777216,vector_only,16,7,764.2599940299988,862.814,True
1024,16777216,matrix_only,16,7,312.94000148773193,408.492,True
1024,16777216,matrix_only,16,8,302.9800057411194,398.432,True
1024,16777216,serial,16,8,982.9400181770325,1072.905,True
1024,16777216,parallel,16,8,969.6599841117859,1065.725,True
1024,16777216,vector_only,16,8,764.6399736404419,878.594,True
1024,16777216,serial,16,9,976.1000275611877,1077.825,True
1024,16777216,parallel,16,9,954.8599720001221,1067.785,True
1024,16777216,vector_only,16,9,768.559992313385,877.634,True
1024,16777216,matrix_only,16,9,311.47998571395874,405.882,True
1024,16777216,matrix_only,16,10,320.85999846458435,391.742,True
1024,16777216,serial,16,10,988.860011100769,1067.344,True
1024,16777216,vector_only,16,10,763.4199857711792,860.584,True
1024,16777216,parallel,16,10,963.15997838974,1085.495,True
1024,16777216,matrix_only,16,11,306.40000104904175,406.871,True
1024,16777216,serial,16,11,966.4199948310852,1066.915,True
1024,16777216,parallel,16,11,969.8200225830078,1060.545,True
1024,16777216,vector_only,16,11,767.1200037002563,872.274,True
1024,16777216,parallel,16,12,970.3400135040283,1082.605,True
1024,16777216,matrix_only,16,12,316.1599934101105,403.752,True
1024,16777216,serial,16,12,990.0199770927429,1080.925,True
