case,problem,cores,mode,makespan,added_copy,byte_hit_rate,time_ratio,copy_saved_vs_fastest,plan,plan_sha256
case_026,2,5,min_copy_within_3pct_time,30215,891952,,1.0,0,p2/case_026/min_copy_within_3pct_time.json,496982f2e76379dfd25ad227e832f11125b3b3ebaa1a4edf41a39bca30299d26
case_026,2,5,time_first,30215,891952,,1.0,0,p2/case_026/time_first.json,496982f2e76379dfd25ad227e832f11125b3b3ebaa1a4edf41a39bca30299d26
case_027,2,5,min_copy_within_1pct_time,448117,16119808,,1.0,0,p2/case_027/min_copy_within_1pct_time.json,7f2074cc3d9856759710684fb20d6b05ed1a69d69c8c54ad7b06aa52f60dd5e6
case_027,2,5,min_copy_within_3pct_time,448117,16119808,,1.0,0,p2/case_027/min_copy_within_3pct_time.json,7f2074cc3d9856759710684fb20d6b05ed1a69d69c8c54ad7b06aa52f60dd5e6
case_027,2,5,time_first,448117,16119808,,1.0,0,p2/case_027/time_first.json,7f2074cc3d9856759710684fb20d6b05ed1a69d69c8c54ad7b06aa52f60dd5e6
case_028,2,5,min_copy_within_1pct_time,8032082,22602240,,1.0,0,p2/case_028/min_copy_within_1pct_time.json,05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48
case_028,2,5,min_copy_within_3pct_time,8032082,22602240,,1.0,0,p2/case_028/min_copy_within_3pct_time.json,05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48
case_028,2,5,time_first,8032082,22602240,,1.0,0,p2/case_028/time_first.json,05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48
case_029,2,5,min_copy_within_1pct_time,9383,0,,1.0,0,p2/case_029/min_copy_within_1pct_time.json,06053f139e9c60361d8a80d72059e67564fb1939e21106eb273feeb36b617af4
case_029,2,5,min_copy_within_3pct_time,9383,0,,1.0,0,p2/case_029/min_copy_within_3pct_time.json,06053f139e9c60361d8a80d72059e67564fb1939e21106eb273feeb36b617af4
case_029,2,5,time_first,9383,0,,1.0,0,p2/case_029/time_first.json,06053f139e9c60361d8a80d72059e67564fb1939e21106eb273feeb36b617af4
case_030,2,5,min_copy_within_1pct_time,564267,7110656,,1.0081561259384457,1592320,p2/case_030/min_copy_within_1pct_time.json,250f282c9961fc016d6264db05019f3e4908360fcf11a570eaca98e793fd5327
case_030,2,5,min_copy_within_3pct_time,564267,7110656,,1.0081561259384457,1592320,p2/case_030/min_copy_within_3pct_time.json,250f282c9961fc016d6264db05019f3e4908360fcf11a570eaca98e793fd5327
case_030,2,5,time_first,559702,8702976,,1.0,0,p2/case_030/time_first.json,a64273a6951bf192db7edb24a67a29dd17639703d4a268f35b9c940356ac787b
case_031,2,5,min_copy_within_1pct_time,274096,7092992,,1.003533103162951,122368,p2/case_031/min_copy_within_1pct_time.json,e492c71ec2915302f13185f281631cc71c1746e72e863448e73c2e5257c4e294
case_031,2,5,min_copy_within_3pct_time,274096,7092992,,1.003533103162951,122368,p2/case_031/min_copy_within_3pct_time.json,e492c71ec2915302f13185f281631cc71c1746e72e863448e73c2e5257c4e294
case_031,2,5,time_first,273131,7215360,,1.0,0,p2/case_031/time_first.json,3af72d47c822770a56023addb1ef17fb101e537b7ce07419960e922c5c69a5a2
case_032,2,5,min_copy_within_1pct_time,10396,12360,,1.0,0,p2/case_032/min_copy_within_1pct_time.json,08a9f6c087acb0cdbc2f5191af07cecb7db86aa6114be2a0b9e3b48ffef06758
case_032,2,5,min_copy_within_3pct_time,10396,12360,,1.0,0,p2/case_032/min_copy_within_3pct_time.json,08a9f6c087acb0cdbc2f5191af07cecb7db86aa6114be2a0b9e3b48ffef06758
case_032,2,5,time_first,10396,12360,,1.0,0,p2/case_032/time_first.json,08a9f6c087acb0cdbc2f5191af07cecb7db86aa6114be2a0b9e3b48ffef06758
case_033,2,5,min_copy_within_1pct_time,349438,7936128,,1.0,0,p2/case_033/min_copy_within_1pct_time.json,91b43d2ec5a1f0fd05e45738a067b8cdb55980cc98a6fd42dd28acca7e74b996
case_033,2,5,min_copy_within_3pct_time,349438,7936128,,1.0,0,p2/case_033/min_copy_within_3pct_time.json,91b43d2ec5a1f0fd05e45738a067b8cdb55980cc98a6fd42dd28acca7e74b996
case_033,2,5,time_first,349438,7936128,,1.0,0,p2/case_033/time_first.json,91b43d2ec5a1f0fd05e45738a067b8cdb55980cc98a6fd42dd28acca7e74b996
case_034,2,5,min_copy_within_1pct_time,150655,2807808,,1.0,0,p2/case_034/min_copy_within_1pct_time.json,9e1444e75742bf6053299798d07113012196060be8c7782fc1dd97369ee344ad
case_034,2,5,min_copy_within_3pct_time,150655,2807808,,1.0,0,p2/case_034/min_copy_within_3pct_time.json,9e1444e75742bf6053299798d07113012196060be8c7782fc1dd97369ee344ad
case_034,2,5,time_first,150655,2807808,,1.0,0,p2/case_034/time_first.json,9e1444e75742bf6053299798d07113012196060be8c7782fc1dd97369ee344ad
