case,problem,cores,method,call,phase,status,best_makespan
case_094,3,5,budget_beam,2,component,success,24943
case_094,3,5,budget_beam,3,wcc,success,24943
case_094,3,5,budget_beam,4,wcc,success,21651
case_094,3,5,budget_beam,5,component,success,21651
case_094,3,5,budget_beam,6,wcc,success,16819
case_094,3,5,budget_beam,7,structure_pair,success,16243
case_094,3,5,budget_beam,8,structure,success,16243
case_094,3,5,budget_beam,9,legacy,success,16243
case_094,3,5,budget_beam,10,region,success,16243
case_094,3,5,budget_beam,11,structure,success,16243
case_094,3,5,budget_beam,12,structure_pair,success,16243
case_060,2,5,budget_beam,1,component,success,183430
case_060,2,5,budget_beam,2,component,success,183430
case_060,2,5,budget_beam,3,wcc,success,183430
case_060,2,5,budget_beam,4,wcc,success,183430
case_060,2,5,budget_beam,5,component,success,183430
case_060,2,5,budget_beam,6,wcc,success,164455
case_060,2,5,budget_beam,7,structure_pair,success,164455
case_060,2,5,budget_beam,8,structure,success,164455
case_060,2,5,budget_beam,9,legacy,success,164455
case_060,2,5,budget_beam,10,data,success,164455
case_060,2,5,budget_beam,11,structure,success,164455
case_060,2,5,budget_beam,12,region,success,164455
case_029,3,5,local_legacy,1,component,success,9383
case_029,3,5,local_legacy,2,component,success,9383
case_029,3,5,local_legacy,3,operation,success,9383
case_029,3,5,local_legacy,4,operation,success,9383
case_029,3,5,local_legacy,5,trace,success,9383
case_029,3,5,local_legacy,6,trace,success,9383
case_029,3,5,local_legacy,7,legacy,success,9383
case_029,3,5,local_legacy,8,legacy,success,9383
case_029,3,5,local_legacy,9,structure,success,9383
case_029,3,5,local_legacy,10,legacy,success,9383
case_029,3,5,local_legacy,11,legacy,success,9383
case_029,3,5,local_legacy,12,legacy,success,9383
case_009,3,5,baseline,1,component,success,92225
case_009,3,5,baseline,2,component,success,92225
case_009,3,5,baseline,3,wcc,success,87425
case_009,3,5,baseline,4,wcc,success,87425
case_009,3,5,baseline,5,operation,success,87425
case_009,3,5,baseline,6,operation,success,74767
case_009,3,5,baseline,7,trace,success,74732
case_009,3,5,baseline,8,trace,success,74700
case_009,3,5,baseline,9,p3_cache,success,73001
case_009,3,5,baseline,10,p3_cache,success,73001
case_009,3,5,baseline,11,p3_cache,success,73001
case_009,3,5,baseline,12,p3_cache,success,72876
case_021,3,5,budget_beam,1,component,success,1249380
case_021,3,5,budget_beam,2,component,success,1249380
case_021,3,5,budget_beam,3,wcc,success,1249380
case_021,3,5,budget_beam,4,wcc,success,1249380
case_021,3,5,budget_beam,5,wcc_probe,success,1249380
case_021,3,5,budget_beam,6,operation,success,1249380
case_021,3,5,budget_beam,7,structure,success,1249380
case_021,3,5,budget_beam,8,legacy,success,1249380
case_021,3,5,budget_beam,9,data,success,1249380
case_021,3,5,budget_beam,10,structure,success,1249380
case_021,3,5,budget_beam,11,region,success,1249380
case_021,3,5,budget_beam,12,region,success,1249380
case_009,2,5,budget_beam,1,component,success,92225
case_009,2,5,budget_beam,2,component,success,92225
case_009,2,5,budget_beam,3,wcc,success,87425
case_009,2,5,budget_beam,4,wcc,success,87425
case_009,2,5,budget_beam,5,operation,success,87425
case_009,2,5,budget_beam,6,operation,success,77300
case_009,2,5,budget_beam,7,structure,success,77300
case_009,2,5,budget_beam,8,structure_pair,success,77300
case_009,2,5,budget_beam,9,legacy,success,77150
case_009,2,5,budget_beam,10,region,success,75349
case_009,2,5,budget_beam,11,structure,success,75349
case_009,2,5,budget_beam,12,data,success,75349
case_074,3,5,baseline,1,component,success,340313
