case,problem,cores,group,variant,observed_prefix,calls,makespan,note
case_046,3,4,lowcore,strong,8,8,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,4,lowcore,strong,12,12,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,4,lowcore,strong,16,15,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,1,5,development,strong,8,8,925892,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,1,5,development,strong,12,12,760157,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,1,5,development,strong,16,16,616955,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,3,5,validation,strong,8,8,9447245,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,3,5,validation,strong,12,12,8946507,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,3,5,validation,strong,16,16,8523550,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,2,lowcore,joint,8,8,1042860,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,2,lowcore,joint,12,12,1042860,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,2,lowcore,joint,16,16,1042860,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,3,5,validation,joint,8,8,352216,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,3,5,validation,joint,12,12,352216,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,3,5,validation,joint,16,16,348844,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,5,development,strong,8,8,260123,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,5,development,strong,12,12,260123,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,5,development,strong,16,16,259576,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,3,5,validation,strong,8,8,59289,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,3,5,validation,strong,12,12,59289,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,3,5,validation,strong,16,16,59289,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,3,lowcore,strong,8,8,133411,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,3,lowcore,strong,12,12,133411,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,3,lowcore,strong,16,16,124751,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,4,lowcore,strong,8,8,524422,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,4,lowcore,strong,12,12,524422,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,4,lowcore,strong,16,16,524422,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,4,lowcore,strong,8,8,179465,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,4,lowcore,strong,12,12,179465,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,4,lowcore,strong,16,16,179465,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,3,5,validation,strong,8,8,352216,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,3,5,validation,strong,12,12,352216,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,3,5,validation,strong,16,16,352216,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,5,development,strong,8,8,74700,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,5,development,strong,12,12,72876,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,5,development,strong,16,16,72876,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,2,lowcore,strong,8,8,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,2,lowcore,strong,12,12,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,2,lowcore,strong,16,16,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,2,lowcore,joint,8,8,92198,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,2,lowcore,joint,12,12,91658,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,2,lowcore,joint,16,16,91658,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,3,5,validation,strong,8,8,30702,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,3,5,validation,strong,12,12,28049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,3,5,validation,strong,16,16,28049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,4,lowcore,joint,8,8,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,4,lowcore,joint,12,12,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,4,lowcore,joint,16,16,75641,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,3,lowcore,joint,8,8,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,3,lowcore,joint,12,12,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,3,lowcore,joint,16,16,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,3,lowcore,joint,8,8,133411,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,3,lowcore,joint,12,12,133411,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,3,lowcore,joint,16,16,133411,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,3,5,development,strong,8,8,8867,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,3,5,development,strong,12,12,8867,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,3,5,development,strong,16,16,8867,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,1,5,validation,strong,8,8,14055,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,1,5,validation,strong,12,12,14028,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,1,5,validation,strong,16,16,14028,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,4,lowcore,joint,8,8,120451,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,4,lowcore,joint,12,12,120451,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,4,lowcore,joint,16,16,120451,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,2,5,validation,joint,8,8,358905,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,2,5,validation,joint,12,12,358905,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,2,5,validation,joint,16,16,354804,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,2,5,validation,joint,8,8,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,2,5,validation,joint,12,12,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,2,5,validation,joint,16,16,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,2,lowcore,strong,8,8,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,2,lowcore,strong,12,12,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,2,lowcore,strong,16,13,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,5,development,joint,8,8,124612,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,5,development,joint,12,12,124612,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,5,development,joint,16,16,124612,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,2,lowcore,joint,8,8,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,2,lowcore,joint,12,12,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,2,lowcore,joint,16,16,80734,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
