case,problem,cores,variant,group,status,makespan,added_copy,logical_calls,new_calls,failures,timeouts,elapsed_seconds,tail_generation_seconds,prefix_reported_generation_seconds,prefix_elapsed_seconds,stop_reason,summary,time_b8,time_b12,time_b16
case_046,1,3,strong,lowcore,success,124751,5513376,16,16,0,0,6.21619480199297,0.0,0.5846677190274931,6.207098223007051,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p1_n3/strong/summary.json,133411,133411,124751
case_095,1,4,strong,lowcore,success,524422,0,16,16,0,0,46.856018448015675,0.0,2.959574730019085,46.81921940398752,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_095/p1_n4/strong/summary.json,524422,524422,524422
case_051,2,4,strong,lowcore,success,179465,197848,16,16,0,0,6.963549488020362,0.0,0.26282175598316826,6.9424290169845335,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_051/p2_n4/strong/summary.json,179465,179465,179465
case_042,3,5,strong,validation,success,352216,10603520,16,16,0,0,29.004664378007874,0.0,5.039677178981947,28.947407300991472,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_042/p3_n5/strong/summary.json,352216,352216,352216
case_009,3,5,strong,development,success,72876,1323190,16,16,0,0,32.690440156991826,0.0,3.137668943061726,32.599592935002875,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_009/p3_n5/strong/summary.json,74700,72876,72876
case_009,2,2,strong,lowcore,success,80734,0,16,16,0,0,27.891186802007724,0.0,2.394506045995513,27.813241891999496,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p2_n2/strong/summary.json,80734,80734,80734
case_009,1,2,joint,lowcore,success,91658,208668,16,16,0,0,77.99220308399526,5.001891354011605,7.4776461709989235,55.01450142299291,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_009/p1_n2/joint/summary.json,92198,91658,91658
case_017,3,5,strong,validation,success,28049,340992,16,16,0,0,8.25025137301418,0.0,1.679983418987831,8.229286749003222,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_017/p3_n5/strong/summary.json,30702,28049,28049
case_046,3,4,joint,lowcore,success,75641,2955040,16,16,0,0,7.172607174987206,1.0971955249842722,0.3384035129856784,4.633470389002468,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p3_n4/joint/summary.json,77846,77846,75641
case_046,2,3,joint,lowcore,success,79308,1860800,16,16,0,0,6.429063428979134,0.8197213699750137,0.3465542679768987,4.403465588024119,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p2_n3/joint/summary.json,79308,79308,79308
case_046,1,3,joint,lowcore,success,133411,5513376,16,16,0,0,7.318334936979227,0.39415510100661777,0.4420457909582183,5.095596730010584,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p1_n3/joint/summary.json,133411,133411,133411
case_064,3,5,strong,development,success,8867,130674,16,16,0,0,5.910311195009854,0.0,0.1849571600323543,5.896451677021105,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_064/p3_n5/strong/summary.json,8867,8867,8867
case_057,1,5,strong,validation,success,14028,14400,16,16,0,0,7.628722670982825,0.0,1.280202221008949,7.617021160025615,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_057/p1_n5/strong/summary.json,14055,14028,14028
case_046,1,4,joint,lowcore,success,120451,5079200,16,16,0,0,7.241309791017557,0.3060425070289057,0.5730443500215188,5.311520301998826,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p1_n4/joint/summary.json,120451,120451,120451
case_042,2,5,joint,validation,success,354804,6982656,16,16,0,0,41.5835076829826,11.85122589400271,5.106708635983523,23.870482996979263,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_042/p2_n5/joint/summary.json,358905,358905,354804
