library,case,cores,no_l2_makespan,l2_makespan,no_l2_added_copy,l2_added_copy,same_core_p2_over_p3,same_plan_hash,interpretation
cold,case_035,3,80191,80191,102400,102400,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_036,3,311345,311345,2304,2304,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_037,3,74038,74038,491520,1064960,1.0,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_038,3,446434,444979,5902848,5902848,1.0032698172273298,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_039,3,483565,476822,14925824,16646144,1.0141415454823812,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_040,3,100597,103323,0,0,0.9736167165103607,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_041,3,1984993,1981686,32312320,32323584,1.0016687810278722,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_042,3,565432,562499,5593376,5593376,1.0052142314919672,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_043,3,218258,218258,1020724,1020724,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_044,3,53880,53762,1860800,1860800,1.0021948588222165,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_045,3,42214,42214,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_046,3,79308,79308,1860800,1860800,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_047,3,105024,108690,1709964,1560748,0.966271046094397,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_048,3,99531,98100,758442,725004,1.0145871559633028,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_049,3,102138,98019,4936376,4899256,1.0420224650322896,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_050,3,96327,65878,203520,3295474,1.4622028598318104,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_051,3,228533,227940,263200,263200,1.0026015618145125,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_052,3,48171,48171,181248,181248,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_053,3,420703,420703,1313356,1313356,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_054,3,356930,344159,13371100,13371100,1.0371078484072769,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_055,3,26196,26196,57856,57856,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_056,3,131386,128403,6069540,6069540,1.02323154443432,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_057,3,17798,17798,288,288,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_058,3,1487365,1487365,31199232,31199232,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
