batch,case,problem,num_cores,seed,stage,round,before_time,after_time,evaluations,generation_seconds
full_p2_seed17,case_009,2,4,17,operation,0,92216,71548,8,0.4361306669889018
full_p2_seed17,case_009,2,4,17,trace,0,71548,59071,12,0.22393924999050796
full_p2_seed17,case_009,2,5,17,component,0,,92225,4,0.339024499990046
full_p2_seed17,case_009,2,5,17,operation,0,92225,77300,8,0.5893785419175401
full_p2_seed17,case_009,2,5,17,trace,0,77300,52200,12,0.19321120902895927
full_p2_seed17,case_010,2,2,17,component,0,,45626,4,0.02821704198140651
full_p2_seed17,case_010,2,2,17,operation,0,45626,45626,8,0.03390358295291662
full_p2_seed17,case_010,2,2,17,trace,0,45626,45197,12,0.013959249947220087
full_p2_seed17,case_010,2,3,17,component,0,,30315,4,0.04202429193537682
full_p2_seed17,case_010,2,3,17,operation,0,30315,30315,8,0.043020708952099085
full_p2_seed17,case_010,2,3,17,trace,0,30315,30315,12,0.01647458306979388
full_p2_seed17,case_010,2,4,17,component,0,,29856,4,0.05438783403951675
full_p2_seed17,case_010,2,4,17,operation,0,29856,29856,8,0.0525611249031499
full_p2_seed17,case_010,2,4,17,trace,0,29856,29856,12,0.016951250028796494
full_p2_seed17,case_010,2,5,17,component,0,,30490,4,0.07924379198811948
full_p2_seed17,case_010,2,5,17,operation,0,30490,29530,8,0.060576749965548515
full_p2_seed17,case_010,2,5,17,trace,0,29530,19138,12,0.020165916066616774
full_p2_seed17,case_011,2,2,17,component,0,,92646,4,0.03419733396731317
full_p2_seed17,case_011,2,2,17,operation,0,92646,92646,6,0.036497625056654215
full_p2_seed17,case_011,2,2,17,trace,0,92646,92646,2,0.009068457991816103
full_p2_seed17,case_011,2,3,17,component,0,,69625,4,0.08156591700389981
full_p2_seed17,case_011,2,3,17,operation,0,69625,62289,6,0.04997445899061859
full_p2_seed17,case_011,2,3,17,trace,0,62289,62289,12,0.02928841602988541
full_p2_seed17,case_011,2,4,17,component,0,,46880,4,0.12840175000019372
full_p2_seed17,case_011,2,4,17,operation,0,46880,46880,6,0.05148845899384469
full_p2_seed17,case_011,2,4,17,trace,0,46880,46880,2,0.013039167039096355
full_p2_seed17,case_011,2,5,17,component,0,,46915,4,0.19126033305656165
full_p2_seed17,case_011,2,5,17,operation,0,46915,46915,6,0.06786949990782887
full_p2_seed17,case_011,2,5,17,trace,0,46915,46915,2,0.011422791983932257
