case,problem,cores,valid,cold_makespan,archive_makespan,cold_speedup,archive_speedup,outcome,trained_graph,calls,seconds,failures,best_name
case_032,1,5,True,10110,10415,4.099208704253215,3.9791646663466156,win,False,6,2.3795697470050072,0,v2_p1_component_critical
case_032,2,5,True,9956,9948,4.1626155082362395,4.165963007639727,loss,False,8,2.517589221999515,0,joint_g0_reallocate_affinity
case_032,3,5,True,9829,9917,4.216400447654899,4.178985580316628,win,False,8,2.790164128993638,0,v2_p3_wavefront_s2_residency
case_033,1,5,True,368019,368019,4.8209358755933795,4.8209358755933795,tie,False,6,13.666774035009439,0,wcc_task_6_mv_complement_batch2
case_033,2,5,True,359574,368931,4.934160979381157,4.80901848855206,win,False,8,10.822727018006844,0,v2_p2_component_critical
case_033,3,5,True,356432,368435,4.977656327153566,4.815492556353224,win,False,8,12.173949998003081,0,v2_p3_affinity_s2_cache_window
case_034,1,5,True,169362,169362,4.977480190361474,4.977480190361474,tie,False,8,20.845784589997493,0,wcc_task_7_mv_complement_batch2
case_034,2,5,True,160031,163827,5.267704382275934,5.14564754283482,win,False,8,10.597589430006337,0,v2_p2_component_critical
case_034,3,5,True,166136,163174,5.07413203640391,5.1662397195631655,loss,False,8,11.171745100000408,0,v2_p3_component_cache_window
case_035,1,5,True,90079,90079,1.8824698320363236,1.8824698320363236,tie,False,8,14.112774178007385,0,selective_phase_band_critical_path_x2_a5_eft
case_035,2,5,True,80362,51821,2.110089345710659,3.2722448428243376,loss,False,8,8.994979875002173,0,op_stable_id_w200
case_035,3,5,True,73610,51103,2.303640809672599,3.318220065358198,loss,False,8,10.222264879994327,0,joint_fifo_g1_t1_w8_advance
case_036,1,5,True,187182,187182,4.976493466252097,4.976493466252097,tie,False,2,3.6634699139976874,0,wcc_start0_simple_a5_per_core_lpt_mv
case_036,2,5,True,187182,187182,4.976493466252097,4.976493466252097,tie,False,2,1.8689457430009497,0,wcc_start0_simple_a5_per_core_lpt_mv
case_036,3,5,True,187182,187182,4.976493466252097,4.976493466252097,tie,False,2,1.9548889580037212,0,wcc_start0_simple_a5_per_core_lpt_mv
case_037,1,5,True,43800,43013,4.794543378995434,4.882268151489085,loss,False,4,2.305656830998487,0,wcc_start0_simple_a5_per_core_lpt_mv
case_037,2,5,True,43013,43013,4.882268151489085,4.882268151489085,tie,False,8,4.179644914998789,0,v2_p2_component_critical
case_037,3,5,True,43013,43013,4.882268151489085,4.882268151489085,tie,False,8,4.225051489993348,0,v2_p3_component_residency
case_038,1,5,True,279703,276053,4.878585499619239,4.943090638391903,loss,False,6,32.519316916004755,0,wcc_task_5_mv_complement_batch2
case_038,2,5,True,274362,277456,4.973556833672301,4.918095121388617,win,False,8,19.780409974991926,0,joint_g0_reallocate_branch
case_038,3,5,True,274634,275192,4.968630977956116,4.958556208029303,win,False,8,21.20503795800323,0,v2_p3_component_residency
case_039,1,5,True,329899,316542,4.350610338315667,4.534191355333573,loss,False,6,31.480483851002646,0,wcc_task_7_mv_complement_batch2
case_039,2,5,True,337241,308167,4.255894152846184,4.657416271047841,loss,False,8,19.99987776299531,0,v2_p2_component_critical
case_039,3,5,True,298213,300221,4.81287536089976,4.780684895460344,win,False,8,24.93375055899378,0,joint_g0_reallocate_branch
case_040,1,5,True,110105,110105,2.301929975932065,2.301929975932065,tie,False,8,11.010124688997166,0,selective_whole_critical_path_x1_a3_eft
case_040,2,5,True,94847,68324,2.6722405558425675,3.70958960248229,loss,False,8,6.992443170995102,0,v2_p2_affinity_s2_residency
case_040,3,5,True,94707,63092,2.6761907778728076,4.0172129588537375,loss,False,8,9.486110647994792,0,v2_p3_affinity_s2_residency
case_041,1,5,True,1247263,1196379,4.813705689978778,5.018440644645217,loss,False,5,113.199268811004,1,v2_p1_component_critical
case_041,2,5,True,1196379,1194924,5.018440644645217,5.02455135221989,loss,False,2,22.12413920799736,0,wcc_start0_simple_a5_per_core_lpt_mv
case_041,3,5,True,1193054,1191935,5.03242686416541,5.037151354729914,loss,False,2,24.114046189002693,0,wcc_start0_simple_a5_per_core_lpt_mv
case_042,1,5,True,351302,342220,4.801395949923427,4.928817719595582,loss,False,8,21.877045964007266,0,v2_p1_component_critical
case_042,2,5,True,347174,354324,4.858485946528254,4.760445242207697,win,False,8,13.846587687992724,0,v2_p2_affinity_s2_residency
case_042,3,5,True,358797,353812,4.701098392684442,4.7673340644183915,loss,False,8,13.725398811002378,0,v2_p3_component_residency
case_043,1,5,True,232684,222525,2.9123446390813292,3.0453027749691044,loss,True,8,58.8477012719959,0,selective_phase_band_critical_path_x1_a5_eft
case_043,2,5,True,228292,169830,2.968373837015752,3.990201966672555,loss,True,8,23.57510924100643,0,v2_p2_wavefront_s2_residency
case_043,3,5,True,217344,158368,3.11789605418139,4.278995756718529,loss,True,8,43.10508813800698,0,joint_fifo_g1_t0_w8_work
case_044,1,5,True,132892,96349,1.161898383649881,1.6025802032195455,loss,False,8,3.5539548939996166,0,wcc_start0_simple_a5_per_core_lpt_mv
case_044,2,5,True,56039,44806,2.7553489534074482,3.446123287059769,loss,False,8,3.2157303650019458,0,v2_p2_branch_s2_residency
case_044,3,5,True,44254,43210,3.489108329190582,3.5734089331173338,loss,False,8,3.4433787559974007,0,v2_p3_branch_s2_residency
case_045,1,5,True,26153,26153,4.8030436278820785,4.8030436278820785,tie,False,3,1.5075540450052358,0,wcc_task_4_mv_complement_batch2
case_045,2,5,True,26164,25770,4.801024308209754,4.874427629025999,loss,False,8,4.339224645009381,0,wcc_start0_simple_a5_per_core_lpt_mv
case_045,3,5,True,26164,25770,4.801024308209754,4.874427629025999,loss,False,8,3.8710585570079274,0,wcc_start0_simple_a5_per_core_lpt_mv
case_046,1,5,True,123920,124612,2.2309151065203356,2.218526305652746,win,False,8,3.687052395005594,0,joint_g0_crossover_branch_merge
case_046,2,5,True,94086,77211,2.93832238590226,3.580513139319527,loss,False,8,3.4001011189975543,0,op_critical_path_w200
case_046,3,5,True,93464,73405,2.9578768295814433,3.7661603433008652,loss,False,8,3.811858288012445,0,op_critical_path_w200
case_047,1,5,True,208139,321049,1.5687016849317044,1.0170036349591496,win,True,8,90.39903724499163,0,v2_p1_branch_s2_critical
case_047,2,5,True,122134,95504,2.67335876987571,3.418788741832803,loss,True,8,49.6666419020039,0,op_stable_id_w200
case_047,3,5,True,118853,93047,2.7471582543141526,3.509065311079347,loss,True,8,68.05023788299877,0,joint_fifo_g1_t0_w8_advance
case_048,1,5,True,165101,162167,1.345963985681492,1.3703157855790635,loss,True,8,14.81819250099943,0,v2_p1_branch_strict_s2_critical
case_048,2,5,True,102506,98926,2.167873100111213,2.2463255362594263,loss,True,8,5.145355856002425,0,op_stable_id_w200
case_048,3,5,True,102463,98781,2.168782877721714,2.2496229031898847,loss,True,8,6.117888444001437,0,op_stable_id_w200
case_049,1,5,True,124981,124981,1.5704467078996007,1.5704467078996007,tie,False,8,15.971819724989473,0,selective_phase_band_critical_path_x2_a5_eft
case_049,2,5,True,103297,59914,1.9001132656321094,3.2759622125045897,loss,False,8,11.465713122001034,0,op_stable_id_w200
case_049,3,5,True,91532,59456,2.14434296202421,3.301197524219591,loss,False,8,12.430551996993017,0,v2_p3_branch_s2_residency
case_050,1,5,True,78548,77776,1.9057137037225647,1.9246297058218473,loss,False,8,17.87880520199542,0,selective_phase_band_critical_path_x2_a5_eft
case_050,2,5,True,65615,48502,2.2813381086641775,3.0862644839388067,loss,False,8,11.171713030998944,0,op_stable_id_w200
case_050,3,5,True,58614,45172,2.5538267308151634,3.313778446825467,loss,False,8,11.508110198003124,0,joint_fifo_g1_t3_w8_work
case_051,1,5,True,290405,293518,2.0923468948537387,2.0701558337137755,win,True,3,4.42745203000959,0,v2_p1_branch_strict_s2_merge
case_051,2,5,True,164392,162296,3.6962139276850454,3.7439493271553212,loss,True,8,3.7120187459950102,0,op_release_priority_w100
case_051,3,5,True,161479,159635,3.76289176920838,3.806358254768691,loss,True,8,4.001610246996279,0,op_release_priority_w100
case_052,1,5,True,44240,44240,4.075519891500904,4.075519891500904,tie,False,8,3.04159627800982,0,selective_whole_critical_path_x1_a5_eft
case_052,2,5,True,39187,32948,4.601041161609717,5.472289668568654,loss,False,8,2.699994755006628,0,v2_p2_component_critical
case_052,3,5,True,37442,32948,4.815474600715774,5.472289668568654,loss,False,8,2.8630521919985767,0,v2_p3_component_cache_window
case_053,1,5,True,492699,470274,2.9890176355137723,3.1315488417390713,loss,False,4,110.16854379198048,0,wcc_start0_simple_a5_per_core_lpt_mv
case_053,2,5,True,420197,432146,3.504751342822533,3.4078436454346446,win,False,8,54.95479270699434,0,v2_p2_branch_s2_residency
case_053,3,5,True,438540,380122,3.3581566105714415,3.8742456369270917,loss,False,8,65.42409561999375,0,joint_fifo_g1_t0_w8_advance
case_054,1,5,True,387450,447227,2.1036288553361726,1.8224548160106613,win,False,4,112.0583307610068,1,v2_p1_branch_s2_critical
case_054,2,5,True,257917,217984,3.1601290337589223,3.739040480035232,loss,False,8,64.12763853601064,0,v2_p2_branch_s2_residency
case_054,3,5,True,254422,212882,3.203539788225861,3.8286515534427523,loss,False,8,66.28004458200303,0,joint_fifo_g1_t0_w8_advance
case_055,1,5,True,26781,26781,4.437287629289422,4.437287629289422,tie,False,8,3.2591675580042647,0,wcc_start0_simple_a5_per_core_lpt_mv
case_055,2,5,True,26781,26309,4.437287629289422,4.516895359002623,loss,False,8,2.7469206669920823,0,wcc_start0_simple_a5_per_core_lpt_mv
case_055,3,5,True,26781,26309,4.437287629289422,4.516895359002623,loss,False,8,2.892364321000059,0,wcc_start0_simple_a5_per_core_lpt_mv
case_056,1,5,True,174670,210746,1.5874792465792638,1.3157307849259299,win,False,7,75.784124703001,0,v2_p1_branch_s2_critical
case_056,2,5,True,158328,92627,1.7513326764691022,2.9935655910263748,loss,False,8,32.63722811700427,0,op_stable_id_w200
case_056,3,5,True,147665,91994,1.8777977178071987,3.014163967215253,loss,False,8,37.696196481992956,0,joint_fifo_g1_t1_w8_work
case_057,1,5,True,14268,14268,4.186010653209981,4.186010653209981,tie,False,8,3.1447925899992697,0,v2_p1_component_critical
case_057,2,5,True,14028,16003,4.257627601938979,3.732175217146785,win,False,8,2.5805053939984646,0,v2_p2_component_critical
case_057,3,5,True,14028,16003,4.257627601938979,3.732175217146785,win,False,8,2.7041134430037346,0,v2_p3_component_residency
case_058,1,5,True,943984,943984,4.8091037559958645,4.8091037559958645,tie,False,3,63.408949720003875,0,wcc_task_5_mv_complement_batch2
case_058,2,5,True,969192,911208,4.684022360894436,4.982086417151737,loss,False,8,94.71974064299138,0,joint_g0_reallocate_branch
case_058,3,5,True,880410,898391,5.156366919957747,5.053163934189011,win,False,4,49.184642001011525,0,v2_p3_branch_s2_cache_window
case_059,1,5,True,150782,150782,5.501140719714555,5.501140719714555,tie,False,3,4.89716623100685,0,wcc_start0_simple_a5_per_core_lpt_mv
case_059,2,5,True,148571,150736,5.583007450983032,5.502819498991615,win,False,4,6.142368802000419,0,v2_p2_branch_s2_residency
case_059,3,5,True,150528,150736,5.51042330994898,5.502819498991615,win,False,5,7.142011944000842,0,joint_g0_reallocate_branch
case_060,1,5,True,183430,183430,4.845385160551709,4.845385160551709,tie,False,8,37.51400769599422,0,wcc_start0_simple_a5_per_core_lpt_mv
case_060,2,5,True,171445,181232,5.184105689871387,4.904150481151231,win,False,8,15.125724944999092,0,joint_g0_crossover_affinity
case_060,3,5,True,181267,180655,4.903203561596981,4.919814010129805,loss,False,8,15.966355900993221,0,v2_p3_component_cache_window
case_061,1,5,True,22272,22283,3.4658315373563218,3.46412063007674,win,False,8,3.5256713400012814,0,joint_g0_reallocate_branch_merge
