case,problem,cores,method,call,phase,status,best_makespan
case_009,1,5,integrated,6,task_refine,success,92207
case_009,1,5,integrated,7,joint,success,86449
case_009,1,5,integrated,8,structure,success,86449
case_009,1,5,integrated,9,joint,success,86449
case_009,1,5,integrated,10,legacy,success,84706
case_009,1,5,integrated,11,joint,success,84706
case_009,1,5,integrated,12,structure,success,83830
case_060,3,5,baseline,1,component,success,182869
case_060,3,5,baseline,2,component,success,182869
case_060,3,5,baseline,3,wcc,success,182869
case_060,3,5,baseline,4,wcc,success,178118
case_060,3,5,baseline,5,component,success,178118
case_060,3,5,baseline,6,wcc,success,160258
case_060,3,5,baseline,7,component,success,160258
case_060,3,5,baseline,8,wcc,success,160258
case_060,3,5,baseline,9,component,success,160258
case_060,3,5,baseline,10,wcc,success,160258
case_060,3,5,baseline,11,component,success,160258
case_060,3,5,baseline,12,wcc,success,160258
case_074,2,5,baseline,1,component,success,345470
case_074,2,5,baseline,2,component,success,345470
case_074,2,5,baseline,3,wcc,success,340460
case_074,2,5,baseline,4,wcc,success,340460
case_074,2,5,baseline,5,wcc_probe,success,333090
case_074,2,5,baseline,6,operation,success,333090
case_074,2,5,baseline,7,operation,success,333090
case_074,2,5,baseline,8,trace,success,333090
case_074,2,5,baseline,9,trace,success,333090
case_074,2,5,baseline,10,trace,success,333090
case_074,2,5,baseline,11,trace,success,333090
case_074,2,5,baseline,12,trace,success,333090
case_094,2,5,integrated,1,component,success,24943
case_094,2,5,integrated,2,component,success,24943
case_094,2,5,integrated,3,wcc,success,24943
case_094,2,5,integrated,4,wcc,success,22294
case_094,2,5,integrated,5,component,success,22294
case_094,2,5,integrated,6,wcc,success,17755
case_094,2,5,integrated,7,structure_pair,success,17465
case_094,2,5,integrated,8,region,success,17465
case_094,2,5,integrated,9,data,success,17465
case_094,2,5,integrated,10,structure,success,17465
case_094,2,5,integrated,11,legacy,success,17465
case_094,2,5,integrated,12,region,success,17465
case_094,2,5,baseline,1,component,success,24943
case_094,2,5,baseline,2,component,success,24943
case_094,2,5,baseline,3,wcc,success,24943
case_094,2,5,baseline,4,wcc,success,22294
case_094,2,5,baseline,5,component,success,22294
case_094,2,5,baseline,6,wcc,success,17755
case_094,2,5,baseline,7,component,success,17755
case_094,2,5,baseline,8,wcc,success,17755
case_094,2,5,baseline,9,component,success,17755
case_094,2,5,baseline,10,wcc,success,17755
case_094,2,5,baseline,11,component,success,17755
case_094,2,5,baseline,12,wcc,success,17755
case_071,1,5,baseline,1,component,success,18919
case_071,1,5,baseline,2,partition,success,18919
case_071,1,5,baseline,3,partition,success,18919
case_071,1,5,baseline,4,partition,success,13705
case_071,1,5,baseline,5,partition,success,13396
case_071,1,5,baseline,6,partition,success,13396
case_071,1,5,baseline,7,partition,success,13396
case_071,1,5,baseline,8,partition,success,13396
case_071,1,5,baseline,9,task_refine,success,12693
case_071,1,5,baseline,10,task_refine,success,12170
case_071,1,5,baseline,11,task_refine,success,12170
case_071,1,5,baseline,12,task_refine,success,12170
case_074,2,5,local_legacy,1,component,success,345470
case_074,2,5,local_legacy,2,component,success,345470
case_074,2,5,local_legacy,3,wcc,success,340460
case_074,2,5,local_legacy,4,wcc,success,340460
case_074,2,5,local_legacy,5,wcc_probe,success,340460
case_074,2,5,local_legacy,6,operation,success,340460
case_074,2,5,local_legacy,7,legacy,success,340460
case_074,2,5,local_legacy,8,legacy,success,340460
case_074,2,5,local_legacy,9,structure,success,338235
case_074,2,5,local_legacy,10,structure_pair,success,329790
case_074,2,5,local_legacy,11,legacy,success,329790
case_074,2,5,local_legacy,12,legacy,success,329790
case_021,3,5,local_legacy,1,component,success,1249380
case_021,3,5,local_legacy,2,component,success,1249380
